CVE-2020-9367||Zoho ManageEngine Desktop Central MSP build MSP build 10.0.486中的MPS代理容易受到DLL劫持的影响：dcinventory.exe和dcconfig.exe试图加载CSUNSAPI.dll而不提供完整路径。由于该DLL在安装中缺失，该问题变得更加严重，因此有可能劫持该DLL并随后注入代码，导致权限升级到NT AUTHORITY/SYSTEM。
CVE-2020-9490||Apache HTTP Server 2.4.20至2.4.43版本。在HTTP/2请求中特制的 "Cache-Digest "头值会导致服务器在之后实际尝试HTTP/2 PUSH资源时发生崩溃。通过 "H2Push off "配置HTTP/2功能将缓解未打补丁的服务器的这一漏洞。
CVE-2020-9491||在Apache NiFi 1.2.0到1.11.4中，NiFi UI和API通过强制要求TLS v1.2，以及由ListenHTTP、HandleHttpRequest等处理器建立的监听连接得到保护。然而，集群内的通信，如集群请求复制，站点到站点，以及负载平衡队列继续支持TLS v1.0或v1.1。
CVE-2020-9492|||在Apache Hadoop 3.2.0至3.2.1，3.0.0-alpha1至3.1.3，以及2.0.0-alpha至2.10.0中，WebHDFS客户端可能未经适当验证向远程URL发送SPNEGO授权标头。
CVE-2020-9493||在2.1.0之前的Apache Chainsaw版本中发现一个反序列化缺陷，可能导致恶意代码执行。
CVE-2020-9494||Apache Traffic Server 6.0.0 至 6.2.3、7.0.0 至 7.1.10 以及 8.0.0 至 8.0.7 存在某些类型的 HTTP/2 HEADERS 框架的漏洞，可能导致服务器分配大量内存并旋转线程。
CVE-2020-9495||2.2.5之前的Apache Archiva登录服务存在LDAP注入漏洞。攻击者能够通过向登录表格提供特殊值，从连接的LDAP服务器检索用户属性数据。通过某些字符，可以修改用于查询LDAP用户的LDAP过滤器。通过测量登录请求的响应时间，可以从LDAP用户对象中检索到任意的属性数据。
CVE-2020-9496||XML-RPC请求在Apache OFBiz 17.12.03中存在不安全的反序列化和跨网站脚本问题。
CVE-2020-9497||Apache Guacamole 1.1.0和更早版本没有正确验证通过静态虚拟通道从RDP服务器接收的数据。如果用户连接到一个恶意的或被破坏的RDP服务器，特别制作的PDU可能导致处理连接的guacd进程的内存中的信息泄露。
CVE-2020-9498||Apache Guacamole 1.1.0和更早的版本在处理通过RDP静态虚拟通道接收的数据时可能误处理指针。如果用户连接到一个恶意的或被破坏的RDP服务器，一系列特别制作的PDU可能导致内存损坏，可能允许以正在运行的guacd进程的权限执行任意代码。
CVE-2020-9499||部分大华产品存在缓冲区溢出漏洞。在合法账户成功登录后，攻击者发送特定的DDNS测试命令，可能导致设备瘫痪。
CVE-2020-9500||大华部分产品存在拒绝服务漏洞。合法账户登录成功后，攻击者发送特定的日志查询命令，可能导致设备宕机。
CVE-2020-9501||攻击者可以通过特定方式从大华网络P2P控件中获取云密钥信息。云密钥用于验证客户端工具和平台之间的连接。攻击者可能利用泄露的云密钥冒充客户端连接到平台，导致平台服务器资源的额外消耗。构建时间在2020年4月之前的版本受到影响。
CVE-2020-9502||部分Build时间在2019年12月前的大华产品存在Session ID可预测漏洞。在用户正常访问过程中，攻击者可以使用预测的会话ID构建数据包来攻击设备。
CVE-2020-9514||在WordPress的IMPress for IDX Broker插件2.6.2之前发现一个问题。wrappers.php允许登录的用户（具有订阅者角色）永久删除任意的帖子和页面，创建具有任意主题的新帖子，并修改现有帖子和页面的主题（通过create_dynamic_page和delete_dynamic_page）。
CVE-2020-9517||在Micro Focus Service Manager Release Control 9.50和9.60版本中，存在对渲染的用户界面层或框架的不当限制漏洞。该漏洞可能导致恶意用户能够进行UI重构攻击。
CVE-2020-9518||Login filter can access configuration files vulnerability in Micro Focus Service Manager (Web Tier), affecting versions 9.50, 9.51, 9.52, 9.60, 9.61, 9.62.漏洞可被利用，允许未经授权访问配置数据。
CVE-2020-9519||HTTP methods reveled in Web services vulnerability in Micro Focus Service manager (server), affecting versions 9.40, 9.41, 9.50, 9.51, 9.52, 9.60, 9.61, 9.62, 9.63.漏洞可被利用，使配置数据暴露。
CVE-2020-9520||在Micro Focus Vibe發現一個儲存的XSS漏洞，影響所有4.0.7之前的Vibe版本。该漏洞允许远程攻击者制作恶意内容并存储到Vibe中，当系统中的其他用户查看该内容时，攻击者控制的JavaScript将在目标用户的浏览器的安全上下文中执行。
CVE-2020-9521||在Micro Focus Service Manager Automation（SMA）中发现一个SQL注入漏洞，影响到2019.08、2019.05、2019.02、2018.08、2018.05、2018.02版本。该漏洞可能导致SQL命令中的特殊元素被不当中和，并可能导致该产品容易受到SQL注入。
CVE-2020-9522||Micro Focus ArcSight Enterprise Security Manager (ESM)产品中存在跨网站脚本(XSS)漏洞，影响7.0.x、7.2和7.2.1版本。该漏洞可被远程利用，导致跨站脚本（XSS）或信息泄露。
CVE-2020-9523在Micro Focus企業開發人員和企業伺服器上存在未充分保護的憑證漏洞，影響4.0修補程式16之前的所有版本，以及5.0修補程式6版本。该漏洞允许攻击者将运行 Micro Focus Directory Server (MFDS) 的用户账户的散列凭证传输到任意站点，从而危及该账户的安全。
CVE-2020-9524||Micro Focus Enterprise Server and Enterprise developer上的跨网站脚本漏洞，影响5.0补丁更新8之前的所有版本。该漏洞可使攻击者在管理员查看攻击者留下的恶意数据（存储的XSS）或跟踪恶意链接（反射的XSS）时触发管理行动。
CVE-2020-9525||CS2 Network P2P through 3.x, as used in millions of Internet of Things devices, suffers from an authentication flaw that allows remote attackers to perform a man-in-the-middle attack, as demonstrated by eavdropping on user video/audio streams, captentials, and compromising devices.
CVE-2020-9526||CS2 Network P2P through 3.x, as used in millions of Internet of Things devices, suffers from an information exposure flaw that expose user session data to supernodes in the network, as demonstrated by passive eavesdropping on user video/audio streams, captentials, and compromising devices.
CVE-2020-9527||深圳希捷视讯科技有限公司开发的固件（V6至V20，2018-08-09之后至2020年），被许多不同的供应商用于数百万物联网设备中，存在缓冲区溢出漏洞，允许未经认证的远程攻击者通过点对点（P2P）服务执行任意代码。这影响到以下列品牌名称销售的产品。Accfly, Alptop, Anlink, Besdersec, BOAVISION, COOAU, CPVAN, Ctronics, D3D Security, Dericam, Elex System, Elite Security, ENSTER, ePGes, Escam, FLOUREON, GENBOLT, Hongjingtian（HJT）,ICAMI, Iegeek, Jecurity, Jennov, KKMoon, LEFTEK, Loosafe, Luowice, Nesuniq, Nettoly, ProElite, QZT, Royallite, SDETER, SV3C, SY2L, Tenvis, ThinkValue, TOMLOV, TPTEK, WGCC, 和ZILINK。
CVE-2020-9528由深圳希捷视讯科技有限公司开发的固件（V6至V20），被许多不同的供应商用于数以百万计的物联网设备，存在加密问题，允许远程攻击者访问用户会话数据，具体表现为窃听用户视频/音频流，捕获证书，并入侵设备。这影响到以下列品牌名称销售的产品。Accfly, Alptop, Anlink, Besdersec, BOAVISION, COOAU, CPVAN, Ctronics, D3D Security, Dericam, Elex System, Elite Security, ENSTER, ePGes, Escam, FLOUREON, GENBOLT, Hongjingtian（HJT）,ICAMI, Iegeek, Jecurity, Jennov, KKMoon, LEFTEK, Loosafe, Luowice, Nesuniq, Nettoly, ProElite, QZT, Royallite, SDETER, SV3C, SY2L, Tenvis, ThinkValue, TOMLOV, TPTEK, WGCC, 和ZILINK。
CVE-2020-9529||由深圳希捷视讯科技有限公司开发的固件（V6至V20），被许多不同的供应商用于数百万物联网设备，存在权限升级漏洞，允许本地网络的攻击者重置设备的管理员密码。这影响到以下列品牌名称销售的产品。Accfly, Alptop, Anlink, Besdersec, BOAVISION, COOAU, CPVAN, Ctronics, D3D Security, Dericam, Elex System, Elite Security, ENSTER, ePGes, Escam, FLOUREON, GENBOLT, Hongjingtian（HJT）,ICAMI, Iegeek, Jecurity, Jennov, KKMoon, LEFTEK, Loosafe, Luowice, Nesuniq, Nettoly, ProElite, QZT, Royallite, SDETER, SV3C, SY2L, Tenvis, ThinkValue, TOMLOV, TPTEK, WGCC, 和ZILINK。
CVE-2020-9530||在小米MIUI V11.0.5.0.QFAEUXM设备上发现一个问题。GetApps(com.xiaomi.mipicks)的导出组件错误地处理了打开其他组件的功能。攻击者需要诱导用户在特定的网络环境下打开特定的网页。通过跳转到Messaging(com.android.MMS)的WebView组件并加载恶意网页，可以发生信息泄露。此问题已在版本：2001122；11.0.1.54上修复。
CVE-2020-9531||在小米MIUI V11.0.5.0.QFAEUXM设备上发现一个问题。在GetApps(com.xiaomi.mipicks)的网络资源中，传入的参数被读取并执行。读取资源文件后，相关组件打开传入的URL的链接。虽然该URL是安全的，可以通过安全检测，但参数中携带的数据被加载并执行。攻击者可以使用NFC工具接近用户的解锁手机，导致应用被安装，信息被泄露。该问题已在版本：2001122上修复。
CVE-2020-9534||D-Link DIR-615Jx10设备上的fmwlan.c在f_radius_ip1畸形时，通过formWlanSetup网页参数存在基于堆栈的缓冲区溢出。
CVE-2020-9535||D-Link DIR-615Jx10设备上的fmwlan.c在f_radius_ip1畸形时，通过formWlanSetup_Wizard网页参数有一个基于堆栈的缓冲区溢出。
CVE-2020-9540||Sophos HitmanPro.Alert before build 861允许本地提升权限。
CVE-2020-9543||OpenStack Manila <7.4.1, >=8.0.0 <8.1.1, and >=9.0.0 <9.1.1 允许攻击者查看、更新、删除或共享不属于他们的资源，因为UUID的无上下文查询。攻击者还可以创建资源，如共享文件系统和此类共享网络上的共享组。
CVE-2020-9544||在D-Link DSL-2640B E1 EU_1.01设备上发现一个问题。管理界面没有对固件更新POST请求进行验证检查。任何能够访问管理界面的攻击者可以安装他们选择的固件。
CVE-2020-9545||28.8.4之前的Pale Moon 28.x有一个与模块脚本有关的分段故障，由Lacoste网站演示。
CVE-2020-9546||FasterXML jackson-databind 2.x before 2.9.10.4错误地处理了序列化小工具和打字之间的互动，与org.apache.hadoop.shaded.com.zaxxer.hikari.HikariConfig（又称shaded hikari-config）有关。
CVE-2020-9547||FasterXML jackson-databind 2.x before 2.9.10.4错误地处理了序列化小工具和打字之间的交互，与com.ibatis.sqlmap.engine.transaction.jta.JtaTransactionConfig（又称ibatis-sqlmap）相关。
CVE-2020-9548||FasterXML jackson-databind 2.x before 2.9.10.4错误地处理了序列化小工具和打字之间的交互，与br.com.anteros.dbcp.AnterosDBCPConfig（又称anteros-core）有关。
CVE-2020-9549||在 PDFResurrect 0.12 至 0.19 中，pdf.c 中的 get_type 通过精心制作的 PDF 文档存在越界写入。
CVE-2020-9550||Rubetek SmartHome 2020设备在控制器和信标之间使用未加密的433 MHz通信，允许攻击者远程嗅探和欺骗信标请求。
CVE-2020-9551||Adobe Bridge 10.0版本存在越界写入漏洞。成功利用该漏洞可导致任意代码执行。
CVE-2020-9552||Adobe Bridge 10.0版本有一个基于堆的缓冲区溢出漏洞。成功利用可能导致任意代码执行。
CVE-2020-9553||Adobe Bridge 10.0.1及更早版本存在越界读取漏洞。成功利用可能导致信息泄露。
CVE-2020-9554||Adobe Bridge 10.0.1及更早版本存在越界写入漏洞。成功利用后可能导致任意代码执行。
CVE-2020-9555||Adobe Bridge 10.0.1和更早的版本有一个基于堆栈的缓冲区溢出漏洞。成功利用可能导致任意代码执行。
CVE-2020-9556||Adobe Bridge 10.0.1及更早版本存在越界写入漏洞。成功利用后可能导致任意代码执行。
CVE-2020-9557||Adobe Bridge 10.0.1及更早版本存在越界读取漏洞。成功利用后可能导致信息泄露。
CVE-2020-9558||Adobe Bridge 10.0.1及更早版本存在越界读取漏洞。成功利用可能导致信息泄露。
CVE-2020-9559||Adobe Bridge 10.0.1及更早版本存在越界写入漏洞。成功利用后可能导致任意代码执行。
CVE-2020-9560||Adobe Bridge 10.0.1及更早版本存在越界写入漏洞。成功利用后可能导致任意代码执行。
CVE-2020-9561||Adobe Bridge 10.0.1及更早版本存在越界写入漏洞。成功利用后可能导致任意代码执行。
CVE-2020-9562||Adobe Bridge 10.0.1及更早版本存在堆溢出漏洞。成功利用后可能导致任意代码执行。
CVE-2020-9563||Adobe Bridge 10.0.1及更早版本存在堆溢出漏洞。成功利用后可能导致任意代码执行。
CVE-2020-9564||Adobe Bridge 10.0.1及更早版本存在越界写入漏洞。成功利用后可能导致任意代码执行。
CVE-2020-9565||Adobe Bridge 10.0.1及更早版本存在越界写入漏洞。成功利用后可能导致任意代码执行。
CVE-2020-9566||Adobe Bridge 10.0.1和更早的版本有一个use after free漏洞。成功利用该漏洞可能导致任意代码执行。
CVE-2020-9567||Adobe Bridge 10.0.1和更早的版本有一个use after free的漏洞。成功利用该漏洞可能导致任意代码执行。
CVE-2020-9568||Adobe Bridge 10.0.1和更早的版本有一个内存损坏的漏洞。成功利用该漏洞可能导致任意代码执行。
CVE-2020-9569||Adobe Bridge 10.0.1及更早版本存在越界写入漏洞。成功利用后可能导致任意代码执行。
CVE-2020-9570||Adobe Illustrator 24.0.2及更早版本存在内存损坏漏洞。成功利用后可能导致任意代码执行。
CVE-2020-9571||Adobe Illustrator 24.0.2及以前版本存在内存损坏漏洞。成功利用后可能导致任意代码执行。
CVE-2020-9572||Adobe Illustrator 24.0.2及以前版本存在内存损坏漏洞。成功利用后可能导致任意代码执行。
CVE-2020-9573||Adobe Illustrator 24.0.2及以前版本存在内存损坏漏洞。成功利用后可能导致任意代码执行。
CVE-2020-9574||Adobe Illustrator 24.0.2及以前版本存在内存损坏漏洞。成功利用后可能导致任意代码执行。
CVE-2020-9575||Adobe Illustrator 24.1.2及以前版本存在内存损坏漏洞。成功利用后可能导致任意代码执行。
CVE-2020-9576||Magento 2.3.4 及更早版本、2.2.11 及更早版本（见注释）、1.14.4.4 及更早版本、1.9.4.4 及更早版本存在命令注入漏洞。成功利用可能导致任意代码执行。
