CVE-2021-22400||部分华为智能手机由于缺乏参数验证，存在输入验证不足的漏洞。攻击者可能欺骗用户安装一个恶意的APP。该应用程序可以修改特定参数，导致系统崩溃。Affected product include:OxfordS-AN00A 10.0.1.10(C00E10R1P1),10.0.1.105(C00E103R3P3),10.0.1.115(C00E110R3P3),10.0.1.123(C00E121R3P3),10.0.1.135(C00E130R3P3),10.0.1.135(C00E130R4P1),10.0.1.152(C00E140R4P1),10.0.1.160(C00E160R4P1),10.0.1.167(C00E166R4P1),10.0.1.173(C00E172R5P1),10.0.1.178(C00E175R5P1) and 10.1.0.202(C00E79R5P1).
CVE-2021-22547||在物联网设备SDK中，有一个calloc()的实现，没有长度检查。攻击者可以传入大于缓冲区的内存对象，并缠绕在一起，使缓冲区比要求的小，允许攻击者访问堆的其他部分。我们建议将用于嵌入式C的Google Cloud IoT Device SDK升级到1.0.3或更高版本。
CVE-2021-22548||攻击者可以将非信任内存的指针改为指向信任内存区域，导致将信任内存复制到信任内存，如果后者后来被复制出来，则允许从信任区域读取内存区域。建议更新到0.6.2以上或git commit https://github.com/google/asylo/commit/53ed5d8fd8118ced1466e509606dd2f473707a5c
CVE-2021-22549||攻击者可以修改地址指向可信内存，以覆盖任意的可信内存。建议更新到0.6.2以上或git commit https://github.com/google/asylo/commit/53ed5d8fd8118ced1466e509606dd2f473707a5c
CVE-2021-2255||Oracle电子商务套件的Oracle服务合同产品（组件：授权）中存在漏洞。受影响的支持版本为12.1.1-12.1.3。容易被利用的漏洞允许有网络访问权的低权限攻击者通过HTTP破坏Oracle服务合同。对该漏洞的成功攻击可导致对关键数据或所有Oracle服务合同可访问数据的未授权创建、删除或修改访问，以及对关键数据的未授权访问或对所有Oracle服务合同可访问数据的完全访问。CVSS 3.1基础得分8.1（保密性和完整性影响）。CVSS Vector: (CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:N).
CVE-2021-22550||攻击者可以修改飞地内存中的指针，以覆盖安全飞地内的任意内存地址。建议更新到0.6.3以上或git提交https://github.com/google/asylo/commit/a47ef55db2337d29de19c50cd29b0deb2871d31c。
CVE-2021-22552||0.6.1之前的Asylo版本中存在一个不受信任的内存读取漏洞，允许不受信任的攻击者在MessageReader中传递一个系统调用号，然后被sysno()使用，并可以绕过验证。这可以让攻击者从安全飞地内读取内存。我们建议更新到Asylo 0.6.3或过去的https://github.com/google/asylo/commit/90d7619e9dd99bcdb6cd28c7649d741d254d9a1a。
CVE-2021-22553||任何git操作都会通过Jetty并创建一个会话。没有为会话设置过期时间，Jetty也不会自动处理该会话。在多个git操作中，这可能导致Gerrit服务器的堆内存耗尽。我们建议将Gerrit升级到上面列出的任何版本。
CVE-2021-22555||在net/netfilter/x_tables.c中发现影响Linux自v2.6.19-rc1以来的堆越界写入。这允许攻击者通过用户名空间获得权限或导致DoS（通过堆内存损坏）。
CVE-2021-22556||安全小组发现一个整数溢出漏洞，允许具有代码执行能力的攻击者在他们不拥有的页面上发出内存缓存无效操作，允许他们从用户空间控制内核内存。我们建议升级到4.1或更高版本的内核。
CVE-2021-22557||SLO生成器允许加载YAML文件，如果以特定格式制作，可允许在SLO生成器的上下文中执行代码。我们建议将SLO Generator升级到https://github.com/google/slo-generator/pull/173。
CVE-2021-2256||Oracle存储网关的Oracle存储云软件设备产品（组件：管理控制台）中存在漏洞。受影响的支持版本是16.3.1.4.2之前。容易被利用的漏洞允许未认证的攻击者通过HTTP的网络访问来破坏Oracle存储云软件设备。虽然该漏洞存在于Oracle存储云软件设备中，但攻击可能会严重影响其他产品。对该漏洞的成功攻击可能导致对Oracle存储云软件设备的接管。注意：将Oracle存储云软件设备更新到16.3.1.4.2或更高版本将解决这些漏洞。从<a href=" https://www.oracle.com/downloads/cloud/oscsa-downloads.html">这里下载最新版本的Oracle Storage Cloud Software Appliance。更多细节请参考文档<a href="https://support.oracle.com/rstype=doc&id=2768897.1">2768897.1。CVSS 3.1基础得分10.0（机密性、完整性和可用性影响）。CVSS向量：（CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:C/C:H/I:H/A:H）。
CVE-2021-22563||使用libjxl的无效JPEG XL图像在渲染样条时可能导致对std::vector<std::vector<T>的越界访问。OOB 读取访问可能会导致 segfault，或者基于其他进程的内存来渲染花样。建议升级到0.6.0以上或使用https://github.com/libjxl/libjxl/pull/757。
CVE-2021-22564||对于某些有效的JPEG XL图像，其大小略大于组的整数（256x256像素），当处理组的顺序错误时，解码器可以执行图像像素从堆中的图像缓冲区到另一个的越界拷贝。这种复制可以在处理图像的右侧或底部边缘时发生，但只在按一定顺序处理组时发生。在多线程解码环境中，如果线程负载较重，而且图像中包含的组在文件中的顺序是任意的，那么组的处理就会失序。建议升级到0.6.0以上或用https://github.com/libjxl/libjxl/pull/775。
CVE-2021-22565||攻击者可以提前过期验证码，使病人无法使用，使病人无法上传他们的TEK以生成曝光通知。我们建议将曝光通知服务器升级到V1.1.2或更高版本。
CVE-2021-22566||mmu_flags_to_s1_pte_attr内UXN位的不正确设置导致特权可执行页被映射为来自非特权上下文的可执行。攻击者可以利用这一点，从用户模式绕过内核模式页面的可执行性限制。mmu_flags_to_s1_pte_attr内PXN位的不正确设置，导致非特权可执行页被映射为来自特权上下文的可执行。攻击者可以利用这一点，从内核模式绕过用户模式页面的可执行性限制。通常情况下，这允许潜在的攻击者绕过缓解措施，使潜在的内核模式漏洞更容易被利用。我们建议在提交7d731b4e9599088ac3073956933559da7bca6a00之后更新内核并重建。
CVE-2021-22567||双向Unicode文本的解释和编译方式与它在编辑器中的显示方式不同，这可以被利用来使邪恶的代码通过代码审查，看起来是良性的。攻击者可以嵌入一个代码审查员看不到的源代码，以意想不到的方式修改程序的行为。
CVE-2021-22568|||当使用dart pub publish命令向第三方软件包服务器发布软件包时，该请求将通过oauth2 access_token进行验证，该访问令牌在pub.dev上发布时有效。使用这些获得的凭证，攻击者可以冒充pub.dev上的用户。我们建议升级到https://github.com/dart-lang/sdk/commit/d787e78d21e12ec1ef712d229940b1172aafcdf8 或2.15.0版本以上。
CVE-2021-22569||protobuf-java中的一个问题允许com.google.protobuf.UnknownFieldSet字段以这样的方式交错处理，会被不按顺序处理。一个小的恶意有效载荷可以通过创建大量的短命对象，导致频繁的重复暂停，从而占据解析器数分钟。我们建议升级超过脆弱版本的库。
CVE-2021-2257||Oracle存储网关的Oracle存储云软件设备产品（组件：管理控制台）中存在漏洞。受影响的支持版本是16.3.1.4.2之前。容易被利用的漏洞允许具有网络访问权的高权限攻击者通过HTTP入侵Oracle存储云软件设备。虽然该漏洞存在于Oracle存储云软件设备中，但攻击可能会严重影响其他产品。对该漏洞的成功攻击可能导致对Oracle Storage Cloud Software Appliance可访问数据子集的未授权读取访问。注意：将Oracle Storage Cloud Software Appliance更新到16.3.1.4.2或更高版本将解决这些漏洞。从<a href=" https://www.oracle.com/downloads/cloud/oscsa-downloads.html">这里下载最新版本的Oracle Storage Cloud Software Appliance。更多细节请参考文档<a href="https://support.oracle.com/rstype=doc&id=2768897.1">2768897.1。CVSS 3.1基础得分4.1（保密性影响）。CVSS向量：（CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:C/C:L/I:N/A:N）。
CVE-2021-22570||Nullptr dereference，当proto符号中存在一个空字符时。该符号被错误地解析，导致在生成结果错误信息时未检查到对proto文件名称的调用。由于符号被错误地解析，该文件是nullptr。我们建议升级到3.15.0或更高版本。
CVE-2021-22571||本地攻击者可以在BigQuery加载文件之前，从一些其他用户的SA360报告中读取存储在/tmp文件夹中的文件。我们建议升级到1.0.3或以上版本。
CVE-2021-22572|||在类unix系统中，系统临时目录在该系统的所有用户之间共享。根本原因是File.createTempFile以世界可读权限在系统临时目录中创建文件。任何写在这些文件中的敏感信息对unix-like系统的所有其他本地用户都是可见的。我们建议升级过去的提交https://github.com/google/data-transfer-project/pull/969
CVE-2021-22573||漏洞在于IDToken验证器没有验证token是否被正确签名。签名验证可以确保令牌的有效载荷来自有效的提供者，而不是来自其他人。攻击者可以提供一个带有自定义有效载荷的受损令牌。该令牌将通过客户端的验证。我们建议升级到1.33.3或以上版本。
CVE-2021-2258||Oracle电子商务套件的Oracle项目产品（组件：用户界面）中存在漏洞。受影响的支持版本是12.1.1-12.1.3和12.2.3-12.2.10。容易被利用的漏洞允许低权限的攻击者通过HTTP的网络访问来破坏Oracle项目。对该漏洞的成功攻击可导致对关键数据或所有Oracle项目可访问数据的未授权创建、删除或修改访问，以及对关键数据的未授权访问或对所有Oracle项目可访问数据的完全访问。CVSS 3.1基础得分8.1（保密性和完整性影响）。CVSS Vector: (CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:N).
CVE-2021-2259||在Oracle电子商务套件的Oracle应付款产品中存在漏洞（组件：印度本地化，结果）。受影响的支持版本是12.1.1-12.1.3和12.2.3-12.2.10。容易被利用的漏洞允许低权限的攻击者通过HTTP的网络访问来破坏Oracle Payables。对该漏洞的成功攻击可导致对关键数据或所有Oracle Payables可访问数据的未授权创建、删除或修改访问，以及对关键数据的未授权访问或对所有Oracle Payables可访问数据的完全访问。CVSS 3.1基础得分8.1（保密性和完整性影响）。CVSS Vector: (CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:N).
CVE-2021-2260||Oracle电子商务套件的Oracle人力资源产品（组件：iRecruitment）中存在漏洞。受影响的支持版本是12.1.3。容易被利用的漏洞允许具有网络访问权限的低权限攻击者通过HTTP入侵Oracle人力资源部。对该漏洞的成功攻击可导致对关键数据或所有Oracle人力资源部门可访问数据的未授权创建、删除或修改访问，以及对关键数据的未授权访问或对所有Oracle人力资源部门可访问数据的完全访问。CVSS 3.1基础得分8.1（保密性和完整性影响）。CVSS Vector: (CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:N).
CVE-2021-22600||net/packet/af_packet.c中的packet_set_ring()存在双自由漏洞，本地用户可通过精心设计的系统调用来升级权限或拒绝服务。我们建议升级内核，使其超过受影响的版本，或重建过去的 ec6af094ea28f0f2dda1a6a33b14cd57e36a9755
CVE-2021-2261 漏洞在Oracle电子商务套件的Oracle租赁和财务管理产品（组件：报价）。受影响的支持版本是12.1.1-12.1.3和12.2.3-12.2.10。容易被利用的漏洞允许具有网络访问权限的低权限攻击者通过HTTP来破坏Oracle租赁和财务管理。对该漏洞的成功攻击可导致对关键数据或所有Oracle租赁和财务管理可访问数据的未授权创建、删除或修改访问，以及对关键数据的未授权访问或对所有Oracle租赁和财务管理可访问数据的完全访问。CVSS 3.1基础得分8.1（保密性和完整性影响）。CVSS Vector: (CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:N).
CVE-2021-2262||Oracle电子商务套件的Oracle采购产品（组件：Endeca）中存在漏洞。受影响的支持版本为12.1.3。容易被利用的漏洞允许有网络访问权的低权限攻击者通过HTTPS破坏Oracle采购产品。对该漏洞的成功攻击可导致对关键数据或所有Oracle Purchasing可访问数据的未授权创建、删除或修改访问，以及对关键数据的未授权访问或对所有Oracle Purchasing可访问数据的完全访问。CVSS 3.1基础得分8.1（保密性和完整性影响）。CVSS Vector: (CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:N).
CVE-2021-2263||Oracle电子商务套件的Oracle采购产品（组件：智能，RFx）中存在漏洞。受影响的支持版本为12.1.1-12.1.3。容易被利用的漏洞允许有网络访问权的低权限攻击者通过HTTP来破坏Oracle Sourcing。对该漏洞的成功攻击可导致对关键数据或所有Oracle Sourcing可访问数据的未授权创建、删除或修改访问，以及对关键数据的未授权访问或对所有Oracle Sourcing可访问数据的完全访问。CVSS 3.1基础得分8.1（保密性和完整性影响）。CVSS Vector: (CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:N).
CVE-2021-22637||在应用程序处理项目文件的方式中发现多个基于堆栈的缓冲区溢出问题，允许攻击者在Tellus Lite V-Simulator和V-Server Lite（4.0.10.0之前的版本）上制作一个特殊的项目文件，可能允许任意执行代码。
CVE-2021-22638||Fatek FvDesigner Version 1.5.76 and prior is vulnerable to an out-of-bounds read while processing project files, allowing an attacker to craft a special project file that may permit arbitrary code execution.
CVE-2021-22639||在应用程序处理项目文件的方式中发现了一个未初始化指针问题，允许攻击者在Tellus Lite V-Simulator和V-Server Lite（4.0.10.0之前的版本）上制作特殊项目文件，从而允许任意代码执行。
CVE-2021-2264||Oracle Virtualization的Oracle VM VirtualBox产品（组件：Core）中存在漏洞。受影响的支持版本为6.1.20之前。容易被利用的漏洞允许低权限的攻击者登录到Oracle VM VirtualBox执行的基础设施，从而破坏Oracle VM VirtualBox。虽然该漏洞是在Oracle VM VirtualBox中，但攻击可能会严重影响其他产品。对该漏洞的成功攻击可能导致对关键数据或所有Oracle VM VirtualBox可访问数据的未授权创建、删除或修改访问，以及对关键数据的未授权访问或对所有Oracle VM VirtualBox可访问数据的完全访问。CVSS 3.1基础得分8.4（保密性和完整性影响）。CVSS Vector: (CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:C/C:H/I:H/A:N)。
CVE-2021-22640||攻击者可以通过通信捕获和暴力攻击解密Ovarro TBox的登录密码。
