CVE-2019-19220||BMC Control-M/Agent 7.0.00.000允许操作系统命令注入（问题2）。
CVE-2019-1931||Cisco Firepower Management Center (FMC)基于Web的管理界面中的RSS仪表盘存在多个漏洞，可能允许未经认证的远程攻击者对受影响设备的基于Web的管理界面的用户进行跨站脚本(XSS)攻击。这些漏洞是由于受影响设备的基于网络的管理界面对用户提供的输入没有进行充分验证。攻击者可以通过说服界面的用户点击一个精心制作的链接来利用这些漏洞。成功利用后，攻击者可以在受影响界面的上下文中执行任意脚本代码或访问敏感的、基于浏览器的信息。
CVE-2019-19310||GitLab企业版（EE）9.0及以后至12.5允许信息泄露。
CVE-2019-19311||GitLab EE 8.14到12.5、12.4.3和12.3.6允许在组和配置文件字段中进行XSS。
CVE-2019-19312||GitLab EE 8.14到12.5、12.4.3和12.3.6有不正确的访问控制。在项目变更为私有后，之前分叉的仓库仍能通过API获得有关私有项目的信息。
CVE-2019-19313||GitLab EE 12.3至12.5、12.4.3和12.3.6允许拒绝服务。某些字符使其无法创建、编辑或查看问题和提交。
CVE-2019-19314||GitLab EE 8.4至12.5、12.4.3和12.3.6以明文形式存储了几个令牌。
CVE-2019-19315||NLSSRV32.EXE在Nalpeiron Licensing Service 7.3.4.0中，与Nitro PDF和其他产品一起使用，允许通过\.\mailslot\nlsX86ccMailslot邮件槽提升权限。
CVE-2019-19316||当使用具有共享访问签名（SAS）的Azure后端时，Terraform在0.12.17之前的版本可能使用明文HTTP传输令牌和状态快照。
CVE-2019-19317||SQLite 3.30.1中resolve.c中的lookupName在生成列的情况下会省略colUsed位掩码的位，这允许攻击者导致拒绝服务或可能产生未指明的其他影响。
CVE-2019-19318|||在Linux内核5.3.11中，两次挂载精心制作的btrfs镜像会导致rwsem_down_write_slowpath使用后免费，因为（在kernel/locking/rwsem.c的rwsem_can_spin_on_owner中）rwsem_owner_flags返回一个已经释放的指针。
CVE-2019-19319|||在5.2之前的Linux内核中，在挂载一个精心制作的ext4镜像后，由于fs/ext4/xattr.c中的ext4_xattr_set_entry使用后释放，当一个大的old_size值被用于memset调用时，setxattr操作会导致板块越界写访问，又称CID-345c0dbf3a30。
CVE-2019-1932||Cisco Advanced Malware Protection (AMP) for Endpoints for Windows中的一个漏洞可能允许具有管理员权限的认证的本地攻击者执行任意代码。该漏洞是由于对动态加载的模块验证不足造成的。攻击者可以通过在Windows文件系统中的特定位置放置一个文件来利用这一漏洞。成功利用后，攻击者可以用AMP服务的权限执行代码。
CVE-2019-19324||Xmidt cjwt通过2019-11-25之前的1.0.1将不支持的算法映射到alg=none，这有时会导致不受信任的意外JWT接受。
CVE-2019-19325||SilverStripe通过4.4.x之前的4.4.5和4.5.x之前的4.5.2允许在登录表单和自定义表单上反射XSS。Silverstripe表单允许通过非标的FormField属性插入恶意的HTML或JavaScript，这允许在一些用用户输入（请求数据）构建的表单上执行XSS（跨网站脚本）。这可能会导致网络钓鱼尝试，以获得用户的证书或其他敏感的用户输入。
CVE-2019-19326||Silverstripe CMS site through 4.4.4 which have opted into HTTP Cache Headers on responses served by the framework's HTTP layer may be vulnerable to web cache poisoning.通过修改X-Original-Url和X-HTTP-Method-Override头信息，带有恶意HTTP头信息的响应可以向该缓存响应的其他用户返回意外响应。大多数与网络缓存中毒有关的其他头文件已经通过请求主机名伪造白名单被禁用。
CVE-2019-19327||ui/ResultView.js在Wikibase Wikidata查询服务GUI 0.3.6-SNAPSHOT 2019-11-07之前允许在报告结果数量和毫秒数量时进行HTML注入。注意：该GUI代码不再与Wikibase维基数据查询服务快照捆绑，如0.3.6-SNAPSHOT。
CVE-2019-19328||ui/editor/tooltip/Rdf.js在2019-11-07之前的Wikibase Wikidata查询服务GUI中，允许在实体的工具提示中注入HTML。注意：该GUI代码不再与Wikibase维基数据查询服务快照捆绑，如0.3.6-SNAPSHOT。
CVE-2019-19329||在0.3.6-SNAPSHOT 2019-11-07之前的Wikibase维基数据查询服务GUI中，当直接显示结果中的数学表达式时，可发生任意的JavaScript执行，又称XSS。通过引入MathJax作为一个新的数学渲染引擎来解决这个问题。注意：该GUI代码不再与Wikibase维基数据查询服务快照捆绑，如0.3.6-SNAPSHOT。
CVE-2019-1933||Cisco AsyncOS Software for Cisco Email Security Appliance (ESA)的电子邮件信息扫描存在漏洞，可能允许未经认证的远程攻击者绕过设备上配置的过滤器。该漏洞是由于某些电子邮件字段的输入验证不当造成的。攻击者可以通过向受ESA保护的收件人发送精心制作的电子邮件来利用这一漏洞。成功利用该漏洞后，攻击者可以绕过配置的信息过滤器，在邮件正文中注入任意脚本代码。除非收件人的电子邮件客户端被配置为执行电子邮件中的脚本，否则恶意代码默认不会被执行。
CVE-2019-19330||2.0.10之前的HAProxy中的HTTP/2实现错误处理了头文件，如回车（CR，ASCII 0xd）、换行（LF，ASCII 0xa）和零字符（NUL，ASCII 0x0），又称中介封装攻击。
CVE-2019-19331||knot-resolver在4.3.0版本之前存在通过高CPU利用率拒绝服务的风险。具有非常多资源记录的DNS回复可能会被非常低效地处理，在极端情况下，每个这样的未缓存信息甚至需要几秒钟的CPU。例如，几千个A记录可以被压缩到一个DNS消息中（限制是64kB）。
CVE-2019-19332||在Linux内核3.13至5.4版本中发现了一个越界内存写入问题，即Linux内核的KVM管理程序处理'KVM_GET_EMULATED_CPUID'ioctl(2)请求以获得KVM管理程序所模拟的CPUID功能的方式。能够访问'/dev/kvm'设备的用户或进程可以利用这一缺陷使系统崩溃，导致拒绝服务。
CVE-2019-19333||在libyang 1.0-r5之前的所有版本中，在libyang解析具有 "比特 "类型叶子的YANG文件的方式中发现了基于堆栈的缓冲区溢出。使用libyang解析不受信任的YANG文件的应用程序可能会受到这一缺陷的影响，这将允许攻击者造成拒绝服务或可能获得代码执行。
CVE-2019-19334||在1.0-r5之前的所有libyang版本中，在libyang解析具有 "identityref "类型叶子的YANG文件的方式中发现了基于堆栈的缓冲区溢出。使用libyang解析不受信任的YANG文件的应用程序可能会受到这一缺陷的影响，这将允许攻击者造成拒绝服务或可能获得代码执行。
CVE-2019-19335||在安装OpenShift 4集群时，`openshift-install`命令行工具会创建一个`auth`目录，其中有`kubeconfig`和`kubeadmin-password`文件。这两个文件包含用于验证OpenShift API服务器的凭证，并且不正确地分配了可读字的权限。
CVE-2019-19336||版本4.3.8之前，oVirt-engine的OAuth授权端点被报告存在跨站脚本漏洞。URL参数被包含在HTML响应中而没有转义。该漏洞允许攻击者制作恶意的HTML页面，从而在用户的oVirt会话中运行脚本。
CVE-2019-19337||在红帽Ceph Storage版本3中发现了一个缺陷，即Ceph RADOS Gateway守护进程处理S3请求的方式。经过验证的攻击者可以通过向Ceph RADOS Gateway服务器发送特制的HTTP Content-Length标头来滥用这一缺陷，从而导致远程拒绝服务。
CVE-2019-19338||在CVE-2019-11135的修复中发现了一个缺陷，在5.5之前的Linux上游内核版本中，当TSX异步中止（TAA）错误发生时，英特尔CPU处理投机执行指令的方式。当来宾运行在受TAA缺陷影响的主机CPU上（TAA_NO=0），但不受MDS问题影响（MDS_NO=1），来宾是通过使用VERW指令机制来清除受影响的缓冲区。但是当MDS_NO=1位被导出到客座时，客座没有使用VERW机制来清除受影响的缓冲区。这个问题影响到在Cascade Lake CPU上运行的客人，并要求主机启用'TSX'。数据的保密性是与此漏洞相关的最高威胁。
CVE-2019-19339||发现Red Hat Enterprise Linux 8 kpatch更新不包括CVE-2018-12207的完整修复。在英特尔CPU处理CPU的本地缓存和系统软件的分页结构条目中虚拟到物理内存地址转换之间的不一致的方式中发现了一个漏洞。有特权的访客用户可能利用这一缺陷在主机处理器上诱发硬件机器检查错误，通过停止处理器导致严重的DoS情况。系统软件如操作系统或虚拟机监控器（VMM）使用虚拟内存系统来存储内存中的程序指令和数据。虚拟内存系统使用分页结构，如页表和页目录来管理系统内存。处理器的内存管理单元（MMU）使用分页结构条目，将程序的虚拟内存地址转换为物理内存地址。处理器将这些地址转换存储到它的本地缓存缓冲区，称为转换旁观缓冲区（TLB）。TLB有两部分，一部分用于指令，另一部分用于数据地址。系统软件可以修改其分页结构条目以改变地址映射或某些属性，如页面大小等。在内存中的这种分页结构改变后，系统软件必须在处理器的TLB缓存中使相应的地址转换失效。但在TLB失效之前，有特权的客户用户可能会触发指令获取操作，这可能会使用已经缓存的，但现在无效的，来自指令TLB（ITLB）的虚拟到物理地址转换。因此，访问一个无效的物理内存地址，并导致处理器因页面大小变化的机器检查错误（MCE）而停止。
CVE-2019-1934||思科自适应安全设备（ASA）软件的基于网络的管理界面存在漏洞，可能允许经过验证的远程攻击者提升权限并在受影响设备上执行管理功能。该漏洞是由于授权验证不足造成的。攻击者可以通过以低权限用户身份登录受影响设备，然后发送特定的HTTPS请求，使用初始登录时检索的信息执行管理功能，从而利用这一漏洞。
CVE-2019-19340||在Ansible Tower（3.6.2之前的3.6.x版本和3.5.3之前的3.5.x版本）中发现了一个缺陷，通过用'-e rabbitmq_enable_manager=true'设置来启用RabbitMQ管理器，如预期那样公开暴露RabbitMQ管理界面。如果默认的管理员用户仍处于活动状态，攻击者可以猜测密码并获得对系统的访问。
CVE-2019-19341||在3.6.2之前的3.6.x版本的Ansible Tower中发现了一个缺陷，'/var/backup/tower'中的文件被留作世界可读。这些文件包括SECRET_KEY和数据库的备份。任何能够访问Tower服务器的用户，如果知道备份何时运行，就可以检索存储在Tower中的每一个凭证。对数据的访问是这个漏洞的最大威胁。
CVE-2019-19342||在Ansible Tower（3.6.2之前的3.6.x版本和3.5.4之前的3.5.x版本）中，当请求/websocket且密码包含'#'字符时，发现一个缺陷。此请求将导致 RabbitMQ 在解析密码时出现套接字错误，并出现 HTTP 错误代码 500 和部分密码披露将以明文形式出现。攻击者可以很容易地猜到一些可预测的密码，或用暴力强迫密码。
CVE-2019-19343||当使用Red Hat Jboss EAP在7.2.4版本之前提供的Remoting时，Undertow中发现了一个缺陷。由于无限期保留远程连接，HttpOpenListener中的内存泄漏可能导致拒绝服务。undertow 2.0.25.SP1和jboss-remoting 5.0.14.SP1之前的版本被认为存在漏洞。
CVE-2019-19344||在4.9.18之前的所有samba 4.9.x版本、4.10.12之前的所有samba 4.10.x版本和4.11.5之前的所有samba 4.11.x版本中存在免费使用后问题，主要是由于在其他局部变量仍指向原始缓冲区时调用realloc（）。
CVE-2019-19345||在4.3.0之前的所有openshift/mediawiki-apb 4.x.x版本中发现一个漏洞，在容器openshift/mediawiki-apb中发现/etc/passwd文件存在不安全的修改漏洞。有权限进入容器的攻击者可以利用这个漏洞修改/etc/passwd，并提升自己的权限。
CVE-2019-19346||在容器openshift/mariadb-apb中发现/etc/passwd文件存在不安全的修改漏洞，影响到以下4.3.5、4.2.21、4.1.37和3.11.188-4之前的版本。能够访问容器的攻击者可以利用这一缺陷修改/etc/passwd并提升其权限。
cve-2019-19347||**拒绝 **不要使用这个候选号码。咨询IDs：无。原因是。该候选人被其CNA撤回。备注：无。
CVE-2019-19348||在容器openshift/apb-base中发现/etc/passwd文件存在不安全的修改漏洞，影响到以下4.3.5、4.2.21、4.1.37和3.11.188-4之前的版本。能够访问容器的攻击者可以利用这个缺陷修改/etc/passwd并提升他们的权限。
CVE-2019-19349||在红帽Openshift 4中提供的容器operator-framework/operator-metering中发现/etc/passwd文件存在不安全的修改漏洞。拥有容器访问权的攻击者可以利用这一漏洞修改/etc/passwd并提升其权限。
CVE-2019-1935||思科集成管理控制器（IMC）Supervisor、思科UCS Director和Cisco UCS Director Express for Big Data中的一个漏洞可能允许未经认证的远程攻击者通过使用SCP用户账户（scpuser）登录受影响系统的CLI，该账户具有默认用户凭据。该漏洞是由于存在一个有记录的默认账户，其默认密码没有记录，而且该账户的权限设置不正确。在产品安装过程中，改变该账户的默认密码并不强制执行。攻击者可以通过使用该账户登录到受影响的系统来利用这一漏洞。成功利用后，攻击者可以用scpuser账户的权限执行任意命令。这包括对系统数据库的完全读取和写入权限。
CVE-2019-19350|||在Red Hat Openshift 4和3.11中提供的openshift/ansible-service-broker中发现/etc/passwd文件存在不安全的修改漏洞。拥有容器访问权的攻击者可以利用这一漏洞修改/etc/passwd并提升其权限。
CVE-2019-19351||容器openshift/jenkins中发现/etc/passwd文件存在不安全的修改漏洞。能够访问该容器的攻击者可以利用这一漏洞修改/etc/passwd并提升其权限。该CVE特定于Openshift 4和3.11中运送的openshift/jenkins-slave-base-rhel7-containera。
CVE-2019-19352||在Red Hat Openshift 4中交付的operator-framework/presto中发现/etc/passwd文件存在不安全的修改漏洞。拥有容器访问权的攻击者可以利用这个漏洞修改/etc/passwd并提升自己的权限。
CVE-2019-19353||在Red Hat Openshift 4中提供的operator-framework/hive中发现/etc/passwd文件存在不安全的修改漏洞。能够访问容器的攻击者可以利用这个漏洞修改/etc/passwd并提升他们的权限。
